SIGUNGU_CD,SIGUNGU_NM,CURRENT_VISITOR,NORMAL_VISITOR,NORMAL_COMPARE,CONGESTION_SCORE,ABSOLUTE_SCORE,CONGESTION_LEVEL
43750,진천군,67841.0,72290.55037517531,-6.2,43.8,5.7,보통
43760,괴산군,38597.0,45905.83745617111,-15.9,34.1,2.9,여유
43770,음성군,93294.87,103692.33809081346,-10.0,40.0,8.0,보통
43800,단양군,38313.03,39125.96712447406,-2.1,47.9,2.9,보통
44130,천안시,483778.55,490704.0898323984,-1.4,48.6,44.5,보통
44131,천안시 동남구,252041.19,257776.81402559608,-2.2,47.8,22.9,보통
44133,천안시 서북구,256203.95,255613.65074929877,0.2,50.2,23.2,보통
44150,공주시,98551.5,110567.92443057505,-10.9,39.1,8.5,여유
44180,보령시,114034.13,118501.86158134644,-3.8,46.2,10.0,보통
44200,아산시,271024.2,285535.85067215987,-5.1,44.9,24.6,보통
44210,서산시,141094.05,145633.0955403226,-3.1,46.9,12.5,보통
44230,논산시,105366.13,109335.64790638148,-3.6,46.4,9.2,보통
44250,계룡시,38814.35,37990.482017531554,2.2,52.2,2.9,보통
44270,당진시,154362.94,167470.51697650773,-7.8,42.2,13.7,보통
44710,금산군,50584.61,58151.33975140253,-13.0,37.0,4.0,여유
44760,부여군,70167.46,72765.70287237027,-3.6,46.4,5.9,보통
44770,서천군,57466.74,61843.25208380084,-7.1,42.9,4.7,보통
44790,청양군,27651.46,26723.54528260869,3.5,53.5,1.9,보통
44800,홍성군,83518.57,86018.33306136045,-2.9,47.1,7.1,보통
44810,예산군,85634.5,88314.18992847124,-3.0,47.0,7.3,보통
44825,태안군,77735.76,83713.08059642356,-7.1,42.9,6.6,보통
46110,목포시,266501.18,252274.71721633943,5.6,55.6,24.2,보통
46130,여수시,247819.8,235416.69843127628,5.3,55.3,22.5,보통
46150,순천시,252867.68,243754.99392145863,3.7,53.7,22.9,보통
46170,나주시,115453.55,115061.279970547,0.3,50.3,10.1,보통
46230,광양시,117635.95,114545.92093723702,2.7,52.7,10.3,보통
46710,담양군,63376.9,68076.23338569424,-6.9,43.1,5.2,보통
46720,곡성군,24308.03,25609.50529628331,-5.1,44.9,1.6,보통
46730,구례군,27786.18,28488.254618162693,-2.5,47.5,1.9,보통
46770,고흥군,48904.13,47470.89222545582,3.0,53.0,3.9,보통
46780,보성군,38976.23,39745.25453436185,-1.9,48.1,3.0,보통
46790,화순군,73120.18,73155.0522962833,-0.0,50.0,6.1,보통
46800,장흥군,40477.55,40512.84508555399,-0.1,49.9,3.1,보통
46810,강진군,36480.09,37040.50651086956,-1.5,48.5,2.7,보통
46820,해남군,60564.7,60036.55946914446,0.9,50.9,5.0,보통
46830,영암군,58497.31,61547.215824333805,-5.0,45.0,4.8,보통
46840,무안군,108003.95,106542.36084852734,1.4,51.4,9.4,보통
46860,함평군,25272.08,26790.313816970545,-5.7,44.3,1.7,보통
46870,영광군,49196.34,51358.35374053296,-4.2,45.8,3.9,보통
46880,장성군,43002.13,48233.33720511921,-10.8,39.2,3.3,여유
46890,완도군,55821.76,53817.46725561009,3.7,53.7,4.5,보통
46900,진도군,33793.65,33488.16388253857,0.9,50.9,2.5,보통
46910,신안군,35721.64,40979.15542496493,-12.8,37.2,2.7,여유
