SIGUNGU_CD,SIGUNGU_NM,CURRENT_VISITOR,NORMAL_VISITOR,NORMAL_COMPARE
52111,전주시 완산구,332577.8,312125.58142215986,6.6
52113,전주시 덕진구,299877.18,287381.150727209,4.3
52130,군산시,267707.39,264503.0828183731,1.2
52140,익산시,274770.05,270780.2266739131,1.5
52180,정읍시,91313.93,91082.10050806451,0.3
52190,남원시,79834.46,78696.45573001403,1.4
52210,김제시,72754.64,74062.51162026648,-1.8
52710,완주군,92757.64,99924.81733204769,-7.2
52720,진안군,18352.12,20286.04656346424,-9.5
52730,무주군,52398.49,43500.817936535765,20.5
52740,장수군,15259.19,16520.201365708275,-7.6
52750,임실군,29444.84,31934.60696879383,-7.8
52770,순창군,19923.84,22256.913971248247,-10.5
52790,고창군,52250.7,54021.9001858345,-3.3
52800,부안군,61116.75,59939.55178295933,2.0
