SIGUNGU_CD,SIGUNGU_NM,CURRENT_VISITOR,NORMAL_VISITOR,NORMAL_COMPARE,CONGESTION_SCORE,ABSOLUTE_SCORE,CONGESTION_LEVEL
41220,평택시,430289.96,446393.5685813464,-3.6,46.4,50.055442925681504,보통
41250,동두천시,75487.46,77079.19850771388,-2.1,47.9,47.939430712849365,보통
41270,안산시,496472.36,505872.4704221599,-1.9,48.1,63.69804417775746,보통
41271,안산시 상록구,189324.23,192471.6100192847,-1.6,48.4,65.17493292861356,보통
41273,안산시 단원구,325769.0,331201.53017180925,-1.6,48.4,63.58636272645681,보통
41280,고양시,876987.08,914517.6024863254,-4.1,45.9,65.35268218955959,보통
41281,고양시 덕양구,373599.2,397187.0871395512,-5.9,44.1,60.783409910338605,보통
41285,고양시 일산동구,311163.63,316776.4911009818,-1.8,48.2,70.89889446725655,보통
41287,고양시 일산서구,233560.94,243329.5359992988,-4.0,46.0,71.94406745558807,보통
41290,과천시,95981.61,111251.78820231416,-13.7,36.3,62.84475379485678,여유
41310,구리시,242719.36,253419.3305971248,-4.2,45.8,75.08130986597388,보통
41360,남양주시,509766.08,532394.3415518934,-4.3,45.7,52.11328443185334,보통
41370,오산시,202688.34,207407.7172482469,-2.3,47.7,69.82905995046235,보통
41390,시흥시,335347.87,356982.93401823286,-6.1,43.9,61.3467300648522,보통
41410,군포시,205275.07,207316.9499042777,-1.0,49.0,71.91558194756946,보통
41430,의왕시,129503.93,143676.88730364657,-9.9,40.1,61.52514224857504,보통
41450,하남시,314081.42,327698.3820718794,-4.2,45.8,65.69435299068006,보통
41460,용인시,865772.38,896520.2966469144,-3.4,46.6,55.48633944043073,보통
41461,용인시 처인구,256307.37,272200.86585448805,-5.8,44.2,43.53339882662509,보통
41463,용인시 기흥구,372148.51,383354.3962650772,-2.9,47.1,69.30729072416074,보통
41465,용인시 수지구,259678.08,264240.5010252454,-1.7,48.3,72.99732945472091,보통
41480,파주시,344435.0,363638.08581872366,-5.3,44.7,42.41491004833164,보통
41500,이천시,219840.73,227981.3414221599,-3.6,46.4,41.82432468972691,보통
41550,안성시,193299.3,209283.86330329592,-7.6,42.4,38.06497562743044,보통
41570,김포시,392918.66,415818.5534309257,-5.5,44.5,54.93318528084931,보통
41590,화성시,718435.21,759882.018807153,-5.5,44.5,49.61364799233846,보통
41610,광주시,304518.34,323404.3546732118,-5.8,44.2,46.65657282271621,보통
41630,양주시,228201.51,242204.9155687237,-5.8,44.2,47.10770920218326,보통
41650,포천시,138087.3,149977.9004326788,-7.9,42.1,29.127364676434404,보통
41670,여주시,121398.43,134811.10871143057,-9.9,40.1,31.289475302897312,보통
41800,연천군,43427.62,47018.35759957924,-7.6,42.4,17.223256989819053,보통
41820,가평군,94961.27,101708.4059663394,-6.6,43.4,24.382617981765883,보통
41830,양평군,135816.52,149606.61148106592,-9.2,40.8,28.20148076507147,보통
43110,청주시,664569.77,659765.2307275597,0.7,50.7,46.635642531942025,보통
43111,청주시 상당구,175584.46,171998.0444004208,2.1,52.1,40.73875738240024,보통
43112,청주시 서원구,146173.85,140567.84856030854,4.0,54.0,52.94787897303599,보통
43113,청주시 흥덕구,239605.05,237839.8375213885,0.7,50.7,53.12848410700614,보통
43114,청주시 청원구,163672.44,164362.74062342217,-0.4,49.6,47.54678724860478,보통
43130,충주시,231578.02,241564.6607601683,-4.1,45.9,33.299654993414194,보통
43150,제천시,98773.87,102983.04061991585,-4.1,45.9,24.269942850624748,보통
43720,보은군,38725.67,39909.33147896213,-3.0,47.0,17.976216118612637,보통
43730,옥천군,61295.2,64559.10513499299,-5.1,44.9,24.40527239357773,보통
43740,영동군,44170.43,46307.65229417953,-4.6,45.4,15.011602613732563,보통
43745,증평군,40677.07,42171.82830259467,-3.5,46.5,42.34239097960937,보통
43750,진천군,67841.0,72290.55037517531,-6.2,43.8,29.05540059259773,보통
43760,괴산군,38597.0,45905.83745617111,-15.9,34.1,13.551280402160904,여유
43770,음성군,93294.87,103692.33809081346,-10.0,40.0,29.993558244363044,보통
43800,단양군,38313.03,39125.96712447406,-2.1,47.9,14.369555540768848,보통
44130,천안시,483778.55,490704.0898323984,-1.4,48.6,47.512395106260605,보통
44131,천안시 동남구,252041.19,257776.81402559608,-2.2,47.8,44.11391385673104,보통
44133,천안시 서북구,256203.95,255613.6507492988,0.2,50.2,53.98706459673086,보통
44150,공주시,98551.5,110567.92443057505,-10.9,39.1,24.503194712479743,여유
44180,보령시,114034.13,118501.86158134644,-3.8,46.2,30.99434338435847,보통
44200,아산시,271024.2,285535.85067215987,-5.1,44.9,42.39552503547767,보통
44210,서산시,141094.05,145633.0955403226,-3.1,46.9,30.638290140884205,보통
44230,논산시,105366.13,109335.64790638148,-3.6,46.4,30.68925717867473,보통
44250,계룡시,38814.35,37990.482017531554,2.2,52.2,45.39223523795914,보통
44270,당진시,154362.94,167470.51697650773,-7.8,42.2,32.305683327454574,보통
44710,금산군,50584.61,58151.33975140253,-13.0,37.0,21.333597346393184,여유
44760,부여군,70167.46,72765.70287237027,-3.6,46.4,24.317663061923,보통
44770,서천군,57466.74,61843.25208380084,-7.1,42.9,28.3007900409087,보통
44790,청양군,27651.46,26723.54528260869,3.5,53.5,16.289130379580058,보통
44800,홍성군,83518.57,86018.33306136045,-2.9,47.1,30.557025677993977,보통
44810,예산군,85634.5,88314.18992847124,-3.0,47.0,28.405965383952434,보통
44825,태안군,77735.76,83713.08059642356,-7.1,42.9,27.38782867946571,보통
46110,목포시,266501.18,252274.71721633943,5.6,55.6,70.2571083180352,보통
46130,여수시,247819.8,235416.69843127628,5.3,55.3,41.62955964159966,보통
46150,순천시,252867.68,243754.99392145863,3.7,53.7,35.264545504203866,보통
46170,나주시,115453.55,115061.279970547,0.3,50.3,30.71052229390665,보통
46230,광양시,117635.95,114545.92093723702,2.7,52.7,33.99462401703558,보통
46710,담양군,63376.9,68076.23338569424,-6.9,43.1,26.954916558092066,보통
46720,곡성군,24308.03,25609.50529628331,-5.1,44.9,13.153179028117634,보통
46730,구례군,27786.18,28488.254618162693,-2.5,47.5,17.39402459115609,보통
46770,고흥군,48904.13,47470.89222545582,3.0,53.0,16.763841399860986,보통
46780,보성군,38976.23,39745.25453436185,-1.9,48.1,16.464486240183767,보통
46790,화순군,73120.18,73155.0522962833,-0.0,50.0,22.0082862058962,보통
46800,장흥군,40477.55,40512.84508555399,-0.1,49.9,17.734523473788936,보통
46810,강진군,36480.09,37040.50651086956,-1.5,48.5,19.07235852195601,보통
46820,해남군,60564.7,60036.55946914446,0.9,50.9,16.316903739283433,보통
46830,영암군,58497.31,61547.215824333805,-5.0,45.0,22.37414108124296,보통
46840,무안군,108003.95,106542.36084852734,1.4,51.4,33.320046900575626,보통
46860,함평군,25272.08,26790.313816970545,-5.7,44.3,17.693317938813962,보통
46870,영광군,49196.34,51358.35374053296,-4.2,45.8,23.198382476305863,보통
46880,장성군,43002.13,48233.33720511921,-10.8,39.2,20.66776329431421,여유
46890,완도군,55821.76,53817.46725561009,3.7,53.7,26.674080068611605,보통
46900,진도군,33793.65,33488.16388253857,0.9,50.9,19.40988555841909,보통
46910,신안군,35721.64,40979.15542496493,-12.8,37.2,15.188744924839536,여유
47110,포항시,455507.23,437393.9980529453,4.1,54.1,39.75999938928611,보통
47111,포항시 남구,213984.02,206124.3861286816,3.8,53.8,43.344752882593,보통
47113,포항시 북구,271845.0,256847.04637587653,5.8,55.8,38.71856681626005,보통
47130,경주시,311779.01,300952.86466234224,3.6,53.6,33.30332557754609,보통
47150,김천시,120918.36,120831.11351402524,0.1,50.1,25.14141486244481,보통
47170,안동시,166037.44,163981.23586500704,1.3,51.3,23.91589920545301,보통
47190,구미시,291159.96,287268.3353148668,1.4,51.4,41.783814375932415,보통
47210,영주시,97276.06,96667.44784186536,0.6,50.6,27.362338825761483,보통
47230,영천시,86079.42,87245.71530925666,-1.3,48.7,22.166225652029997,보통
47250,상주시,90963.31,93943.61822440394,-3.2,46.8,19.06110412410041,보통
47280,문경시,63824.14,63655.55141760168,0.3,50.3,18.581504324688137,보통
47290,경산시,207300.52,206541.4526802244,0.4,50.4,42.52496924197406,보통
47730,의성군,43967.53,46410.27465883591,-5.3,44.7,11.186059855381766,보통
47750,청송군,27568.76,29286.163304698453,-5.9,44.1,9.480997825973116,보통
47760,영양군,11804.43,12914.955629032258,-8.6,41.4,0.0,보통
47770,영덕군,58955.0,55060.05130224404,7.1,57.1,20.09183609750146,보통
47820,청도군,47817.7,49214.44586325386,-2.8,47.2,18.438651935225685,보통
47830,고령군,28930.57,31062.99414551192,-6.9,43.1,19.417018247637884,보통
47840,성주군,43697.8,45207.26850455821,-3.3,46.7,18.838023469537475,보통
47850,칠곡군,106691.06,107674.16061851331,-0.9,49.1,33.349204889874706,보통
47900,예천군,48188.42,48776.0757275596,-1.2,48.8,19.040044093433192,보통
47920,봉화군,21446.44,22615.71042531557,-5.2,44.8,2.4591362695763825,보통
47930,울진군,60051.49,57165.193673211776,5.0,55.0,16.837473835404744,보통
47940,울릉군,7329.84,8574.968037868162,-14.5,35.5,22.80911420583223,여유
48120,창원시,880554.68,851448.6095497897,3.4,53.4,52.72684400805705,보통
48121,창원시 의창구,222210.44,214870.0042717392,3.4,53.4,51.88124185953789,보통
48123,창원시 성산구,246061.11,240973.16851367464,2.1,52.1,63.2181509234326,보통
48125,창원시 마산합포구,180490.33,175422.34772545582,2.9,52.9,47.23033398043043,보통
48127,창원시 마산회원구,161383.94,146915.35280575036,9.8,59.8,57.839631459482135,보통
48129,창원시 진해구,140350.44,135203.7116837307,3.8,53.8,52.012789826850096,보통
48170,진주시,234874.96,230811.2522289621,1.8,51.8,37.35254011590048,보통
48220,통영시,134367.01,123304.60259046283,9.0,59.0,43.33463432529429,보통
48240,사천시,101943.21,101505.76461886396,0.4,50.4,34.17058494991429,보통
48250,김해시,431078.06,418782.5036420056,2.9,52.9,50.01069735463432,보통
48270,밀양시,104488.39,106043.35823106593,-1.5,48.5,26.112397629342933,보통
48310,거제시,306700.88,294891.3887664797,4.0,54.0,47.318523886092,보통
48330,양산시,300369.4,291691.5401097476,3.0,53.0,44.978829983703314,보통
48720,의령군,25997.45,27403.6868197756,-5.1,44.9,15.499785648385082,보통
48730,함안군,60377.96,62904.42156065919,-4.0,46.0,27.41812403311573,보통
48740,창녕군,57417.49,59077.64357082749,-2.8,47.2,23.87273584976714,보통
48820,고성군,52333.83,56070.35449333801,-6.7,43.3,22.98152058596448,보통
48840,남해군,52144.03,49336.2735,5.7,55.7,27.29014815057837,보통
48850,하동군,34928.65,36229.96546528752,-3.6,46.4,14.962913119663249,보통
48860,산청군,31333.26,34488.52444530154,-9.1,40.9,11.799029130294992,보통
48870,함양군,46303.03,46957.1266171108,-1.4,48.6,17.58490679244453,보통
48880,거창군,55812.99,55932.10491129033,-0.2,49.8,18.586301121704555,보통
48890,합천군,38630.73,40099.789911290325,-3.7,46.3,11.709398339110836,보통
50110,제주시,658666.64,629632.491306101,4.6,54.6,45.96312722614266,보통
50130,서귀포시,273390.79,271879.47689446004,0.6,50.6,36.61399689675153,보통
51110,춘천시,298712.22,304491.7061697055,-1.9,48.1,34.836719397383106,보통
51130,원주시,329111.4,336087.7672429873,-2.1,47.9,39.07487319462379,보통
51150,강릉시,291535.56,277927.31307293125,4.9,54.9,35.37630837656458,보통
51170,동해시,105167.99,100669.9184877279,4.5,54.5,44.21781453946161,보통
51190,태백시,50673.58,49872.51828506311,1.6,51.6,29.11087842983186,보통
51210,속초시,155567.95,140629.89038674615,10.6,60.6,55.53337986047905,혼잡
51230,삼척시,75178.77,75225.5217331697,-0.1,49.9,17.395042560486786,보통
51720,홍천군,101873.23,101410.9706237728,0.5,50.5,15.954040397892818,보통
51730,횡성군,49838.58,55296.726336255255,-9.9,40.1,14.57504423180981,보통
51750,영월군,32779.33,35213.26159431978,-6.9,43.1,8.160326288084166,보통
51760,평창군,93445.83,85281.92773352034,9.6,59.6,17.512269441157933,보통
51770,정선군,58058.86,54891.84481065919,5.8,55.8,14.003364424458711,보통
51780,철원군,41276.37,43570.746537868166,-5.3,44.7,13.68580696723695,보통
51790,화천군,33205.06,29865.35369775596,11.2,61.2,10.871024555556293,혼잡
51800,양구군,22386.54,23498.084565918656,-4.7,45.3,9.951016785660096,보통
51810,인제군,38529.7,42079.30675666199,-8.4,41.6,5.645790110338695,보통
51820,고성군,58434.63,54307.60465007013,7.6,57.6,21.413887272485177,보통
51830,양양군,66830.13,65194.29064656381,2.5,52.5,23.5987585419072,보통
52110,전주시,597420.2,570899.4536048387,4.6,54.6,63.85071224800875,보통
52111,전주시 완산구,332577.8,312125.58142215986,6.6,56.6,66.47340808029047,보통
52113,전주시 덕진구,299877.18,287381.150727209,4.3,54.3,62.711744405798285,보통
52130,군산시,267707.39,264503.0828183731,1.2,51.2,45.42774751359729,보통
52140,익산시,274770.05,270780.2266739131,1.5,51.5,43.392039419328896,보통
52180,정읍시,91313.93,91082.10050806453,0.3,50.3,26.16312071710248,보통
52190,남원시,79834.46,78696.45573001403,1.4,51.4,23.662190340001,보통
52210,김제시,72754.64,74062.51162026648,-1.8,48.2,26.366836941607914,보통
52710,완주군,92757.64,99924.81733204768,-7.2,42.8,24.369087596262705,보통
52720,진안군,18352.12,20286.04656346424,-9.5,40.5,5.536769791968657,보통
52730,무주군,52398.49,43500.817936535765,20.5,70.5,20.692093372218,혼잡
52740,장수군,15259.19,16520.201365708275,-7.6,42.4,7.9918609916885615,보통
52750,임실군,29444.84,31934.60696879383,-7.8,42.2,14.433295774501776,보통
52770,순창군,19923.84,22256.913971248247,-10.5,39.5,11.889528114990751,여유
52790,고창군,52250.7,54021.9001858345,-3.3,46.7,20.997857285496877,보통
52800,부안군,61116.75,59939.55178295933,2.0,52.0,24.388067894198358,보통
