contentId,title,address,contentTypeId,lDongRegnCd,lDongSignguCd,regionName,lclsSystm1,lclsSystm2,lclsSystm3,modifiedTime,latitude,longitude
"3044038","비우당","서울특별시 종로구 창신동","12","11","110","서울특별시 종로구","HS","HS01","HS011200","20260409133833",37.581068,127.013044
"127942","사직공원(서울)","서울특별시 종로구 사직로 89 (사직동)","12","11","110","서울특별시 종로구","VE","VE03","VE030100","20251224093703",37.5758446558,126.9687216489
"2992891","사직단","서울특별시 종로구 사직로 89","12","11","110","서울특별시 종로구","HS","HS01","HS010700","20260721144952",37.5759365117,126.9672637899
"2638477","산마루 놀이터","서울특별시 종로구 창신6가길 39 (창신동)","12","11","110","서울특별시 종로구","VE","VE02","VE020100","20260121111821",37.57569326491641,127.012346723113
"126488","삼청공원","서울특별시 종로구 삼청로 156 (삼청동)","12","11","110","서울특별시 종로구","VE","VE03","VE030100","20251103152619",37.5889267212,126.982819993
"250147","삼청동거리","서울특별시 종로구 삼청로 156 (삼청동)","12","11","110","서울특별시 종로구","VE","VE04","VE040100","20260309154033",37.58887435662737,126.98280518277133
"2993396","상촌재","서울특별시 종로구 자하문로17길 12-11 (옥인동)","12","11","110","서울특별시 종로구","EX","EX01","EX010100","20251106111823",37.5819273005,126.9697547156
"2455084","생명보험교육문화센터","서울특별시 종로구 새문안로5길 31 (도렴동)","12","11","110","서울특별시 종로구","EX","EX06","EX061000","20260805163931",37.572976495,126.9743513025
"3019162","서순라길","서울특별시 종로구 종로 150-3 (종로3가)","12","11","110","서울특별시 종로구","VE","VE04","VE040100","20250109100604",37.5704207437,126.9942167014
"945824","서울 경교장","서울특별시 종로구 새문안로 29 (평동)","12","11","110","서울특별시 종로구","HS","HS01","HS011100","20250722133245",37.5681816549,126.9686079871
"231938","서울 경모궁지","서울특별시 종로구 창경궁로 202-1 (연건동)","12","11","110","서울특별시 종로구","HS","HS01","HS010400","20260304100426",37.580402,126.999009
"250338","서울 관상감 관천대","서울특별시 종로구 원서동","12","11","110","서울특별시 종로구","HS","HS01","HS011200","20260728164506",37.5777762178,126.9880090992
"126522","서울 동관왕묘","서울특별시 종로구 난계로27길 84","12","11","110","서울특별시 종로구","HS","HS01","HS010800","20260727131442",37.5727080049,127.0184229305
"704507","서울 동대문 닭한마리 골목","서울특별시 종로구 종로40가길 14","12","11","110","서울특별시 종로구","VE","VE04","VE040100","20250806150056",37.5703487391,127.0058684191
"126517","서울 문묘와 성균관","서울특별시 종로구 성균관로 31 (명륜3가)","12","11","110","서울특별시 종로구","HS","HS01","HS010800","20260305152418",37.5854861328543,126.996705105892
"250358","서울 우정총국","서울특별시 종로구 우정국로 59 (견지동)","12","11","110","서울특별시 종로구","HS","HS01","HS011100","20260820082221",37.5743700208,126.9827150109
"127454","서울 운현궁","서울특별시 종로구 삼일대로 464","12","11","110","서울특별시 종로구","HS","HS01","HS010100","20251202162416",37.5764588036,126.9871421746
