SIGUNGU_CD,SIGUNGU_NM,CURRENT_VISITOR,NORMAL_VISITOR,NORMAL_COMPARE,CONGESTION_SCORE,ABSOLUTE_SCORE,CONGESTION_LEVEL,AREA_KM2,CURRENT_DENSITY,NORMAL_DENSITY,DENSITY_SCORE
43770,음성군,93294.87,103692.33809081346,-10.0,40.0,8.0,보통,519.0194007582393,179.75218241110994,199.7850907679531,29.993558244363044
43800,단양군,38313.03,39125.96712447406,-2.1,47.9,2.9,보통,779.8360639658656,49.12959501405799,50.17204119221992,14.369555540768847
44130,천안시,483778.55,490704.0898323984,-1.4,48.6,44.5,보통,636.2010589706224,760.4177062873126,771.3034785361108,47.512395106260605
44131,천안시 동남구,252041.19,257776.81402559608,-2.2,47.8,22.9,보통,438.28598672231647,575.0610278116991,588.1475151723592,44.11391385673104
44133,천안시 서북구,256203.95,255613.6507492988,0.2,50.2,23.2,보통,197.915072248306,1294.5145970417266,1291.532008378845,53.98706459673086
44150,공주시,98551.5,110567.92443057505,-10.9,39.1,8.5,여유,863.169636738703,114.17396512272512,128.09524307218646,24.503194712479743
44180,보령시,114034.13,118501.86158134644,-3.8,46.2,10.0,보통,584.1072426832461,195.228070578538,202.87689129992265,30.99434338435847
44200,아산시,271024.2,285535.85067215987,-5.1,44.9,24.6,보통,542.8357238636736,499.2748046701222,526.0078475304412,42.39552503547767
44210,서산시,141094.05,145633.0955403226,-3.1,46.9,12.5,보통,744.2615321205717,189.57590028600657,195.6746241141612,30.638290140884205
44230,논산시,105366.13,109335.64790638148,-3.6,46.4,9.2,보통,553.4665565951562,190.37488127231524,197.546982023626,30.68925717867473
44250,계룡시,38814.35,37990.482017531554,2.2,52.2,2.9,보통,60.76192428102976,638.7939562361436,625.2350047674908,45.39223523795914
44270,당진시,154362.94,167470.51697650773,-7.8,42.2,13.7,보통,709.6187508240088,217.5293984562188,236.00069302289583,32.305683327454574
44710,금산군,50584.61,58151.33975140253,-13.0,37.0,4.0,여유,576.2063048566941,87.78906022658097,100.92104036568136,21.333597346393184
44760,부여군,70167.46,72765.70287237027,-3.6,46.4,5.9,보통,624.0813113992059,112.43320176129424,116.59651001121593,24.317663061923
44770,서천군,57466.74,61843.25208380084,-7.1,42.9,4.7,보통,367.6623864805246,156.30301633546097,168.2066329270175,28.3007900409087
44790,청양군,27651.46,26723.54528260869,3.5,53.5,1.9,보통,479.35364481826105,57.68488525936543,55.74912295230482,16.289130379580058
44800,홍성군,83518.57,86018.33306136045,-2.9,47.1,7.1,보통,443.5190729564031,188.3088577077038,193.9450596520701,30.557025677993977
44810,예산군,85634.5,88314.18992847124,-3.0,47.0,7.3,보통,543.1353433062599,157.6669628581194,162.60070536170792,28.405965383952434
44825,태안군,77735.76,83713.08059642356,-7.1,42.9,6.6,보통,536.3107162381339,144.94537894984666,156.09063563677347,27.38782867946571
46110,목포시,266501.18,252274.71721633943,5.6,55.6,24.2,보통,54.11585831572042,4924.641099568083,4661.752119767353,70.2571083180352
46130,여수시,247819.8,235416.69843127628,5.3,55.3,22.5,보통,528.638950070747,468.78838565874617,445.326055523852,41.62955964159966
46150,순천시,252867.68,243754.99392145863,3.7,53.7,22.9,보통,910.8834870617992,277.6070524844679,267.60282449265765,35.264545504203866
46170,나주시,115453.55,115061.279970547,0.3,50.3,10.1,보통,605.3904621783358,190.7092318312569,190.06126980681148,30.71052229390665
46230,광양시,117635.95,114545.92093723702,2.7,52.7,10.3,보통,470.4935476727469,250.0267019215788,243.45906868187225,33.99462401703558
46710,담양군,63376.9,68076.23338569424,-6.9,43.1,5.2,보통,453.17731642900776,139.850115401635,150.21986078678475,26.954916558092062
46720,곡성군,24308.03,25609.50529628331,-5.1,44.9,1.6,보통,547.8972258872428,44.366039562687234,46.74143997501047,13.153179028117634
46730,구례군,27786.18,28488.254618162693,-2.5,47.5,1.9,보통,439.2638771475114,63.25623718580662,64.85453528106959,17.39402459115609
